player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
donk,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,donk,Higher 41.5 kills on maps 1+2,2025-09-01T02:42:40Z
donk,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,donk,Lower 41.5 kills on maps 1+2,2025-09-01T02:42:40Z
donk,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,donk,Higher 23.5 headshots on maps 1+2,2025-09-01T01:44:30Z
donk,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,donk,Lower 23.5 headshots on maps 1+2,2025-09-01T01:44:30Z
ZywOo,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,ZywOo,Higher 36.0 kills on maps 1+2,2025-09-01T02:30:16Z
ZywOo,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,ZywOo,Lower 36.0 kills on maps 1+2,2025-09-01T02:30:16Z
ZywOo,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,ZywOo,Higher 15.0 headshots on maps 1+2,2025-08-31T14:00:13Z
ZywOo,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,ZywOo,Lower 15.0 headshots on maps 1+2,2025-08-31T14:00:13Z
patsi,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, patsi,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
patsi,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, patsi,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
patsi,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, patsi,Higher 13.5 headshots on maps 1+2,2025-08-31T23:06:19Z
patsi,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, patsi,Lower 13.5 headshots on maps 1+2,2025-08-31T23:06:19Z
BELCHONOKK,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,BELCHONOKK,Higher 29.5 kills on maps 1+2,2025-08-31T23:06:07Z
BELCHONOKK,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,BELCHONOKK,Lower 29.5 kills on maps 1+2,2025-08-31T23:06:07Z
BELCHONOKK,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,BELCHONOKK,Higher 14.5 headshots on maps 1+2,2025-08-31T23:06:07Z
BELCHONOKK,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,BELCHONOKK,Lower 14.5 headshots on maps 1+2,2025-08-31T23:06:07Z
Jame,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, Jame,Higher 30.5 kills on maps 1+2,2025-08-31T23:06:07Z
Jame,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, Jame,Lower 30.5 kills on maps 1+2,2025-08-31T23:06:07Z
Jame,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, Jame,Higher 8.0 headshots on maps 1+2,2025-08-31T23:06:07Z
Jame,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, Jame,Lower 8.0 headshots on maps 1+2,2025-08-31T23:06:07Z
clax,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, clax,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
clax,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, clax,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
clax,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, clax,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
clax,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, clax,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
torzsi,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,torzsi,Higher 31.0 kills on maps 1+2,2025-09-01T00:30:44Z
torzsi,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,torzsi,Lower 31.0 kills on maps 1+2,2025-09-01T00:30:44Z
torzsi,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,torzsi,Higher 10.5 headshots on maps 1+2,2025-08-31T23:06:01Z
torzsi,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,torzsi,Lower 10.5 headshots on maps 1+2,2025-08-31T23:06:01Z
z1Nny,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, z1Nny,Higher 29.5 kills on maps 1+2,2025-09-01T02:43:21Z
z1Nny,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, z1Nny,Lower 29.5 kills on maps 1+2,2025-09-01T02:43:21Z
z1Nny,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, z1Nny,Higher 16.5 headshots on maps 1+2,2025-08-31T23:28:54Z
z1Nny,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, z1Nny,Lower 16.5 headshots on maps 1+2,2025-08-31T23:28:54Z
z1Nny,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, z1Nny,Higher 31.5 kills on maps 1+2,2025-09-01T02:16:06Z
z1Nny,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, z1Nny,Lower 31.5 kills on maps 1+2,2025-09-01T02:16:06Z
z1Nny,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, z1Nny,Higher 17.5 headshots on maps 1+2,2025-09-01T02:16:06Z
z1Nny,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, z1Nny,Lower 17.5 headshots on maps 1+2,2025-09-01T02:16:06Z
Spinx,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Spinx,Higher 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
Spinx,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Spinx,Lower 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
Spinx,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Spinx,Higher 19.0 headshots on maps 1+2,2025-08-31T23:06:01Z
